發生年度,發生月份,發生日期,發生時間,事故類別名稱,處理單位名稱警局層,發生地點,天候名稱,光線名稱,道路類別-第1當事者-名稱,速限-第1當事者,道路型態大類別名稱,道路型態子類別名稱,事故位置大類別名稱,事故位置子類別名稱,路面狀況-路面鋪裝名稱,路面狀況-路面狀態名稱,路面狀況-路面缺陷名稱,道路障礙-障礙物名稱,道路障礙-視距品質名稱,道路障礙-視距名稱,號誌-號誌種類名稱,號誌-號誌動作名稱,車道劃分設施-分向設施大類別名稱,車道劃分設施-分向設施子類別名稱,車道劃分設施-分道設施-快車道或一般車道間名稱,車道劃分設施-分道設施-快慢車道間名稱,車道劃分設施-分道設施-路面邊線名稱,事故類型及型態大類別名稱,事故類型及型態子類別名稱,肇因研判大類別名稱-主要,肇因研判子類別名稱-主要,死亡受傷人數,當事者順位,當事者區分-類別-大類別名稱-車種,當事者區分-類別-子類別名稱-車種,當事者屬-性-別名稱,當事者事故發生時年齡,保護裝備名稱,行動電話或電腦或其他相類功能裝置名稱,當事者行動狀態大類別名稱,當事者行動狀態子類別名稱,車輛撞擊部位大類別名稱-最初,車輛撞擊部位子類別名稱-最初,車輛撞擊部位大類別名稱-其他,車輛撞擊部位子類別名稱-其他,肇因研判大類別名稱-個別,肇因研判子類別名稱-個別,肇事逃逸類別名稱-是否肇逃,經度,緯度
2026,1.0,20260101.0,53700.0,A1,新北市政府警察局,新北市淡水區中正路 / 新北市淡水區真理街,雨,有照明且開啟,市區道路,50.0,單路部分,直路,路段,一般車道(未劃分快慢車道),柏油,濕潤,無缺陷,無障礙物,無遮蔽物,良好,行車管制號誌,正常,中央分向島,寬式(50公分以上),車道線(無標記),未繪設快慢車道分隔線,有,車與車,追撞,駕駛者,酒醉(後)駕駛,死亡1;受傷0,1.0,小客車(含客、貨兩用),自用,男,23.0,不明,不明,車的狀態,向前直行中,汽車,前車頭,,,駕駛者,酒醉(後)駕駛,是,121.433604,25.174412
2026,1.0,20260101.0,53700.0,A1,新北市政府警察局,新北市淡水區中正路 / 新北市淡水區真理街,雨,有照明且開啟,市區道路,50.0,單路部分,直路,路段,一般車道(未劃分快慢車道),柏油,濕潤,無缺陷,無障礙物,無遮蔽物,良好,行車管制號誌,正常,中央分向島,寬式(50公分以上),車道線(無標記),未繪設快慢車道分隔線,有,車與車,追撞,駕駛者,酒醉(後)駕駛,死亡1;受傷0,2.0,機車,普通重型,男,56.0,戴非半罩式安全帽,未使用,車的狀態,等待(引擎未熄火),機車與自行車,後車尾,,,無(車輛駕駛者因素),尚未發現肇事因素,否,121.433604,25.174412
2026,1.0,20260101.0,53700.0,A1,新北市政府警察局,新北市淡水區中正路 / 新北市淡水區真理街,雨,有照明且開啟,市區道路,50.0,單路部分,直路,路段,一般車道(未劃分快慢車道),柏油,濕潤,無缺陷,無障礙物,無遮蔽物,良好,行車管制號誌,正常,中央分向島,寬式(50公分以上),車道線(無標記),未繪設快慢車道分隔線,有,車與車,追撞,駕駛者,酒醉(後)駕駛,死亡1;受傷0,3.0,人,乘客,男,18.0,不明,非駕駛人,不明,不明,其他,無撞擊,,,無(非車輛駕駛人因素),尚未發現肇事因素,否,121.433604,25.174412
2026,1.0,20260101.0,53700.0,A1,新北市政府警察局,新北市淡水區中正路 / 新北市淡水區真理街,雨,有照明且開啟,市區道路,50.0,單路部分,直路,路段,一般車道(未劃分快慢車道),柏油,濕潤,無缺陷,無障礙物,無遮蔽物,良好,行車管制號誌,正常,中央分向島,寬式(50公分以上),車道線(無標記),未繪設快慢車道分隔線,有,車與車,追撞,駕駛者,酒醉(後)駕駛,死亡1;受傷0,4.0,人,乘客,男,17.0,不明,非駕駛人,不明,不明,其他,無撞擊,,,無(非車輛駕駛人因素),尚未發現肇事因素,否,121.433604,25.174412
2026,1.0,20260101.0,64155.0,A1,桃園市政府警察局,桃園市中壢區新生路四段口 / 桃園市中壢區致遠一路口,雨,有照明且開啟,市區道路,50.0,交岔路,四岔路,其他,行人穿越道,柏油,濕潤,無缺陷,無障礙物,無遮蔽物,良好,行車管制號誌(附設行人專用號誌),正常,無,無分向設施,未繪設車道線,未繪設快慢車道分隔線,無,人與車,穿越道路中,非駕駛者,未依號誌或手勢指揮(示)穿越道路,死亡1;受傷1,1.0,人,行人,女,74.0,其他(無需使用保護裝備之人),非駕駛人,人的狀態,步行,其他,非汽、機及自行車,,,非駕駛者,未依號誌或手勢指揮(示)穿越道路,否,121.213602,25.006438
2026,1.0,20260101.0,64155.0,A1,桃園市政府警察局,桃園市中壢區新生路四段口 / 桃園市中壢區致遠一路口,雨,有照明且開啟,市區道路,50.0,交岔路,四岔路,其他,行人穿越道,柏油,濕潤,無缺陷,無障礙物,無遮蔽物,良好,行車管制號誌(附設行人專用號誌),正常,無,無分向設施,未繪設車道線,未繪設快慢車道分隔線,無,人與車,穿越道路中,非駕駛者,未依號誌或手勢指揮(示)穿越道路,死亡1;受傷1,2.0,機車,普通重型,男,70.0,戴非半罩式安全帽,未使用,車的狀態,向前直行中,機車與自行車,前車頭,機車與自行車,左側車身,駕駛者,車輛未依規定暫停讓行人先行,否,121.213602,25.006438
2026,1.0,20260101.0,94832.0,A1,彰化縣警察局,彰化縣彰化市國聖里中山路三段976號前0.0公尺,晴,無照明,市區道路,40.0,單路部分,直路,路段,機車優先道,柏油,乾燥,無缺陷,無障礙物,無遮蔽物,良好,無號誌,無號誌,中央分向島,寬式(50公分以上),車道線(附標記),寬式快慢車道分隔島(50公分以上),有,車與車,同向擦撞,其他,相關跡證不足且無具體影像紀錄，當事人各執一詞，經分析後無法釐清肇事原因,死亡1;受傷0,1.0,大貨車,自用,男,72.0,不明,不明,車的狀態,向前直行中,汽車,右前車頭(身),,,其他,相關跡證不足且無具體影像紀錄，當事人各執一詞，經分析後無法釐清肇事原因,否,120.576807,24.09871
2026,1.0,20260101.0,94832.0,A1,彰化縣警察局,彰化縣彰化市國聖里中山路三段976號前0.0公尺,晴,無照明,市區道路,40.0,單路部分,直路,路段,機車優先道,柏油,乾燥,無缺陷,無障礙物,無遮蔽物,良好,無號誌,無號誌,中央分向島,寬式(50公分以上),車道線(附標記),寬式快慢車道分隔島(50公分以上),有,車與車,同向擦撞,其他,相關跡證不足且無具體影像紀錄，當事人各執一詞，經分析後無法釐清肇事原因,死亡1;受傷0,2.0,機車,普通重型,女,24.0,戴非半罩式安全帽,不明,車的狀態,向前直行中,機車與自行車,左側車身,,,其他,相關跡證不足且無具體影像紀錄，當事人各執一詞，經分析後無法釐清肇事原因,否,120.576807,24.09871
2026,1.0,20260101.0,164800.0,A1,雲林縣警察局,雲林縣元長鄉潭東村雲169公路與興安路口,晴,有照明未開啟或故障,村里道路,30.0,交岔路,四岔路,交叉路口,交叉路口內,柏油,乾燥,無缺陷,無障礙物,無遮蔽物,良好,閃光號誌,正常,無,無分向設施,未繪設車道線,未繪設快慢車道分隔線,無,車與車,路口交岔撞,駕駛者,違反閃光號誌,死亡1;受傷0,1.0,機車,普通重型,男,67.0,戴半罩式安全帽,未使用,車的狀態,向前直行中,機車與自行車,前車頭,,,駕駛者,違反閃光號誌,否,120.304553,23.638168
2026,1.0,20260101.0,164800.0,A1,雲林縣警察局,雲林縣元長鄉潭東村雲169公路與興安路口,晴,有照明未開啟或故障,村里道路,30.0,交岔路,四岔路,交叉路口,交叉路口內,柏油,乾燥,無缺陷,無障礙物,無遮蔽物,良好,閃光號誌,正常,無,無分向設施,未繪設車道線,未繪設快慢車道分隔線,無,車與車,路口交岔撞,駕駛者,違反閃光號誌,死亡1;受傷0,2.0,小客車(含客、貨兩用),自用,男,31.0,不明,不明,車的狀態,向前直行中,汽車,右前車頭(身),,,駕駛者,未依規定減速,否,120.304553,23.638168
2026,1.0,20260101.0,191100.0,A1,新北市政府警察局,新北市三重區忠孝路1段163號前0.0公尺,雨,有照明且開啟,市區道路,50.0,單路部分,直路,路段,一般車道(未劃分快慢車道),柏油,濕潤,無缺陷,無障礙物,無遮蔽物,良好,無號誌,無號誌,雙向禁止超車線,無標記,車道線(無標記),未繪設快慢車道分隔線,無,人與車,穿越道路中,非駕駛者,未依標誌或標線穿越道路,死亡1;受傷2,1.0,人,行人,女,59.0,其他(無需使用保護裝備之人),非駕駛人,人的狀態,步行,其他,非汽、機及自行車,,,非駕駛者,未依標誌或標線穿越道路,否,121.487943,25.071834
2026,1.0,20260101.0,191100.0,A1,新北市政府警察局,新北市三重區忠孝路1段163號前0.0公尺,雨,有照明且開啟,市區道路,50.0,單路部分,直路,路段,一般車道(未劃分快慢車道),柏油,濕潤,無缺陷,無障礙物,無遮蔽物,良好,無號誌,無號誌,雙向禁止超車線,無標記,車道線(無標記),未繪設快慢車道分隔線,無,人與車,穿越道路中,非駕駛者,未依標誌或標線穿越道路,死亡1;受傷2,2.0,機車,普通重型,男,83.0,戴半罩式安全帽,未使用,車的狀態,向前直行中,機車與自行車,前車頭,,,駕駛者,未保持行車安全距離,否,121.487943,25.071834
